Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del
1,ak10dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0
2,ak11dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,2,31,0,0,0,0,0,0
3,ak12dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,11,0,0,0,0,0,0
4,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,24,0,0,0,0,0,0
5,ak4dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,30,28,0,0,0,0,0,0
6,ak6dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,32,103,0,0,0,0,0,0
7,ak7dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,95,0,0,0,0,0,0
8,ak9dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,12,0,0,0,0,0,0
